REGION,FIPS,STATE,POPULATION,NAME
3,1001,Alabama,55869,Autauga County
3,1003,Alabama,223234,Baldwin County
3,1005,Alabama,24686,Barbour County
3,1007,Alabama,22394,Bibb County
3,1009,Alabama,57826,Blount County
3,1011,Alabama,10101,Bullock County
3,1013,Alabama,19448,Butler County
3,1015,Alabama,113605,Calhoun County
3,1017,Alabama,33254,Chambers County
3,1019,Alabama,26196,Cherokee County
3,1021,Alabama,44428,Chilton County
3,1023,Alabama,12589,Choctaw County
3,1025,Alabama,23622,Clarke County
3,1027,Alabama,13235,Clay County
3,1029,Alabama,14910,Cleburne County
3,1031,Alabama,52342,Coffee County
3,1033,Alabama,55241,Colbert County
3,1035,Alabama,12067,Conecuh County
3,1037,Alabama,10663,Coosa County
3,1039,Alabama,37049,Covington County
3,1041,Alabama,13772,Crenshaw County
3,1043,Alabama,83768,Cullman County
3,1045,Alabama,49172,Dale County
3,1047,Alabama,37196,Dallas County
3,1049,Alabama,71513,DeKalb County
3,1051,Alabama,81209,Elmore County
3,1053,Alabama,36633,Escambia County
3,1055,Alabama,102268,Etowah County
3,1057,Alabama,16302,Fayette County
3,1059,Alabama,31362,Franklin County
3,1061,Alabama,26271,Geneva County
3,1063,Alabama,8111,Greene County
3,1065,Alabama,14651,Hale County
3,1067,Alabama,17205,Henry County
3,1069,Alabama,105882,Houston County
3,1071,Alabama,51626,Jackson County
3,1073,Alabama,658573,Jefferson County
3,1075,Alabama,13805,Lamar County
3,1077,Alabama,92729,Lauderdale County
3,1079,Alabama,32924,Lawrence County
3,1081,Alabama,164542,Lee County
3,1083,Alabama,98915,Limestone County
3,1085,Alabama,9726,Lowndes County
3,1087,Alabama,18068,Macon County
3,1089,Alabama,372909,Madison County
3,1091,Alabama,18863,Marengo County
3,1093,Alabama,29709,Marion County
3,1095,Alabama,96774,Marshall County
3,1097,Alabama,413210,Mobile County
3,1099,Alabama,20733,Monroe County
3,1101,Alabama,226486,Montgomery County
3,1103,Alabama,119679,Morgan County
3,1105,Alabama,8923,Perry County
3,1107,Alabama,19930,Pickens County
3,1109,Alabama,33114,Pike County
3,1111,Alabama,22722,Randolph County
3,1113,Alabama,57961,Russell County
3,1115,Alabama,89512,St. Clair County
3,1117,Alabama,217702,Shelby County
3,1119,Alabama,12427,Sumter County
3,1121,Alabama,79978,Talladega County
3,1123,Alabama,40367,Tallapoosa County
3,1125,Alabama,209355,Tuscaloosa County
3,1127,Alabama,63521,Walker County
3,1129,Alabama,16326,Washington County
3,1131,Alabama,10373,Wilcox County
3,1133,Alabama,23629,Winston County
4,2013,Alaska,3337,Aleutians East Borough
4,2016,Alaska,5634,Aleutians West Census Area
4,2020,Alaska,288000,Anchorage Municipality
4,2050,Alaska,18386,Bethel Census Area
4,2060,Alaska,836,Bristol Bay Borough
4,2068,Alaska,2097,Denali Borough
4,2070,Alaska,4916,Dillingham Census Area
4,2090,Alaska,96849,Fairbanks North Star Borough
4,2100,Alaska,2530,Haines Borough
4,21110,Alaska,31974,Juneau City and Borough
4,21122,Alaska,58708,Kenai Peninsula Borough
4,21130,Alaska,13901,Ketchikan Gateway Borough
4,21150,Alaska,12998,Kodiak Island Borough
4,21158,Alaska,8314,Kusilvak Census Area
4,2164,Alaska,1592,Lake and Peninsula Borough
4,2170,Alaska,108317,Matanuska-Susitna Borough
4,2180,Alaska,10004,Nome Census Area
4,2185,Alaska,9832,North Slope Borough
4,2188,Alaska,7621,Northwest Arctic Borough
4,2201,Alaska,3266,Petersburg Borough
4,2220,Alaska,6203,Prince of Wales-Hyder Census Area
4,2232,Alaska,8493,Sitka City and Borough
4,2240,Alaska,1183,Skagway Municipality
4,2261,Alaska,6893,Southeast Fairbanks Census Area
4,2270,Alaska,9202,Valdez-Cordova Census Area
4,2280,Alaska,2502,Wrangell City and Borough
4,2282,Alaska,579,Yakutat City and Borough
4,2290,Alaska,5230,Yukon-Koyukuk Census Area
4,4001,Arizona,71887,Apache County
4,4003,Arizona,125922,Cochise County
4,4005,Arizona,143476,Coconino County
4,4007,Arizona,54018,Gila County
4,4009,Arizona,38837,Graham County
4,4011,Arizona,9498,Greenlee County
4,4012,Arizona,21108,La Paz County
4,4013,Arizona,4485414,Maricopa County
4,4015,Arizona,212181,Mohave County
4,4017,Arizona,110924,Navajo County
4,4019,Arizona,1047279,Pima County
4,4021,Arizona,462789,Pinal County
4,4023,Arizona,46498,Santa Cruz County
4,4025,Arizona,235099,Yavapai County
4,4027,Arizona,213787,Yuma County
3,5001,Arkansas,17486,Arkansas County
3,5003,Arkansas,19657,Ashley County
3,5005,Arkansas,41932,Baxter County
3,5007,Arkansas,279141,Benton County
3,5009,Arkansas,37432,Boone County
3,5011,Arkansas,10763,Bradley County
3,5013,Arkansas,5189,Calhoun County
3,5015,Arkansas,28380,Carroll County
3,5017,Arkansas,10118,Chicot County
3,5019,Arkansas,22320,Clark County
3,5021,Arkansas,14551,Clay County
3,5023,Arkansas,24919,Cleburne County
3,5025,Arkansas,7956,Cleveland County
3,5027,Arkansas,23457,Columbia County
3,5029,Arkansas,20846,Conway County
3,5031,Arkansas,110332,Craighead County
3,5033,Arkansas,63257,Crawford County
3,5035,Arkansas,47955,Crittenden County
3,5037,Arkansas,16419,Cross County
3,5039,Arkansas,7009,Dallas County
3,5041,Arkansas,11361,Desha County
3,5043,Arkansas,18219,Drew County
3,5045,Arkansas,126007,Faulkner County
3,5047,Arkansas,17715,Franklin County
3,5049,Arkansas,12477,Fulton County
3,5051,Arkansas,99386,Garland County
3,5053,Arkansas,18265,Grant County
3,5055,Arkansas,45325,Greene County
3,5057,Arkansas,21532,Hempstead County
3,5059,Arkansas,33771,Hot Spring County
3,5061,Arkansas,13202,Howard County
3,5063,Arkansas,37825,Independence County
3,5065,Arkansas,13629,Izard County
3,5067,Arkansas,16719,Jackson County
3,5069,Arkansas,66824,Jefferson County
3,5071,Arkansas,26578,Johnson County
3,5073,Arkansas,6624,Lafayette County
3,5075,Arkansas,16406,Lawrence County
3,5077,Arkansas,8857,Lee County
3,5079,Arkansas,13024,Lincoln County
3,5081,Arkansas,12259,Little River County
3,5083,Arkansas,21466,Logan County
3,5085,Arkansas,73309,Lonoke County
3,5087,Arkansas,16576,Madison County
3,5089,Arkansas,16694,Marion County
3,5091,Arkansas,43257,Miller County
3,5093,Arkansas,40651,Mississippi County
3,5095,Arkansas,6701,Monroe County
3,5097,Arkansas,8986,Montgomery County
3,5099,Arkansas,8252,Nevada County
3,5101,Arkansas,7753,Newton County
3,5103,Arkansas,23382,Ouachita County
3,5105,Arkansas,10455,Perry County
3,5107,Arkansas,17782,Phillips County
3,5109,Arkansas,10718,Pike County
3,5111,Arkansas,23528,Poinsett County
3,5113,Arkansas,19964,Polk County
3,5115,Arkansas,64072,Pope County
3,5117,Arkansas,8062,Prairie County
3,5119,Arkansas,391911,Pulaski County
3,5121,Arkansas,17958,Randolph County
3,5123,Arkansas,24994,St. Francis County
3,5125,Arkansas,122437,Saline County
3,5127,Arkansas,10281,Scott County
3,5129,Arkansas,7881,Searcy County
3,5131,Arkansas,127827,Sebastian County
3,5133,Arkansas,17007,Sevier County
3,5135,Arkansas,17442,Sharp County
3,5137,Arkansas,12506,Stone County
3,5139,Arkansas,38682,Union County
3,5141,Arkansas,16545,Van Buren County
3,5143,Arkansas,239187,Washington County
3,5145,Arkansas,78753,White County
3,5147,Arkansas,6320,Woodruff County
3,5149,Arkansas,21341,Yell County
4,6001,California,1671329,Alameda County
4,6003,California,1129,Alpine County
4,6005,California,39752,Amador County
4,6007,California,219186,Butte County
4,6009,California,45905,Calaveras County
4,6011,California,21547,Colusa County
4,6013,California,1153526,Contra Costa County
4,6015,California,27812,Del Norte County
4,6017,California,192843,El Dorado County
4,6019,California,999101,Fresno County
4,6021,California,28393,Glenn County
4,6023,California,135558,Humboldt County
4,6025,California,181215,Imperial County
4,6027,California,18039,Inyo County
4,6029,California,900202,Kern County
4,6031,California,152940,Kings County
4,6033,California,64386,Lake County
4,6035,California,30573,Lassen County
4,6037,California,10039107,Los Angeles County
4,6039,California,157327,Madera County
4,6041,California,258826,Marin County
4,6043,California,17203,Mariposa County
4,6045,California,86749,Mendocino County
4,6047,California,277680,Merced County
4,6049,California,8841,Modoc County
4,6051,California,14444,Mono County
4,6053,California,434061,Monterey County
4,6055,California,137744,Napa County
4,6057,California,99755,Nevada County
4,6059,California,3175692,Orange County
4,6061,California,398329,Placer County
4,6063,California,18807,Plumas County
4,6065,California,2470546,Riverside County
4,6067,California,1552058,Sacramento County
4,6069,California,62808,San Benito County
4,6071,California,2180085,San Bernardino County
4,6073,California,3338330,San Diego County
4,6075,California,881549,San Francisco County
4,6077,California,762148,San Joaquin County
4,6079,California,283111,San Luis Obispo County
4,6081,California,766573,San Mateo County
4,6083,California,446499,Santa Barbara County
4,6085,California,1927852,Santa Clara County
4,6087,California,273213,Santa Cruz County
